2021-02-25 21:38:34-587 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-587 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-587 INFO  Set next player turn
2021-02-25 21:38:34-587 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-588 INFO  Get column number from player GREEN
2021-02-25 21:38:34-588 INFO  Check if column 2 is Full
2021-02-25 21:38:34-588 INFO  Get number of disks in column 2
2021-02-25 21:38:34-588 INFO  Check if column 2 is Full
2021-02-25 21:38:34-588 INFO  Get number of disks in column 2
2021-02-25 21:38:34-588 INFO  Get number of disks in column 2
2021-02-25 21:38:34-588 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-588 INFO  Print game board
2021-02-25 21:38:34-589 INFO  Check if game is ended
2021-02-25 21:38:34-590 INFO  Check if game is Tie
2021-02-25 21:38:34-590 INFO  Check if column 0 is Full
2021-02-25 21:38:34-590 INFO  Get number of disks in column 0
2021-02-25 21:38:34-590 INFO  Check if a player won the game
2021-02-25 21:38:34-590 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-590 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-590 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-590 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-590 INFO  Set next player turn
2021-02-25 21:38:34-590 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-590 INFO  Get column number from player RED
2021-02-25 21:38:34-590 INFO  Check if column 1 is Full
2021-02-25 21:38:34-590 INFO  Get number of disks in column 1
2021-02-25 21:38:34-594 INFO  Check if column 1 is Full
2021-02-25 21:38:34-594 INFO  Get number of disks in column 1
2021-02-25 21:38:34-594 INFO  Get number of disks in column 1
2021-02-25 21:38:34-594 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-594 INFO  Print game board
2021-02-25 21:38:34-596 INFO  Check if game is ended
2021-02-25 21:38:34-596 INFO  Check if game is Tie
2021-02-25 21:38:34-596 INFO  Check if column 0 is Full
2021-02-25 21:38:34-596 INFO  Get number of disks in column 0
2021-02-25 21:38:34-596 INFO  Check if a player won the game
2021-02-25 21:38:34-596 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-596 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-596 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-596 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-596 INFO  Set next player turn
2021-02-25 21:38:34-596 INFO  Call playerIntroduce from PlayerGreen class
2021-02-25 21:38:34-597 INFO  Get column number from player GREEN
2021-02-25 21:38:34-597 INFO  Check if column 4 is Full
2021-02-25 21:38:34-597 INFO  Get number of disks in column 4
2021-02-25 21:38:34-597 INFO  Check if column 4 is Full
2021-02-25 21:38:34-597 INFO  Get number of disks in column 4
2021-02-25 21:38:34-597 INFO  Get number of disks in column 4
2021-02-25 21:38:34-597 INFO  Successfully putDiskInColumn
2021-02-25 21:38:34-597 INFO  Print game board
2021-02-25 21:38:34-599 INFO  Check if game is ended
2021-02-25 21:38:34-599 INFO  Check if game is Tie
2021-02-25 21:38:34-599 INFO  Check if column 0 is Full
2021-02-25 21:38:34-599 INFO  Get number of disks in column 0
2021-02-25 21:38:34-599 INFO  Check if a player won the game
2021-02-25 21:38:34-599 INFO  Check if 4 disks are in a row line
2021-02-25 21:38:34-599 INFO  Check if 4 disks are in a column line
2021-02-25 21:38:34-599 INFO  Check if 4 disks are in a main diagonal line
2021-02-25 21:38:34-599 INFO  Check if 4 disks are in a anti diagonal line
2021-02-25 21:38:34-599 INFO  Set next player turn
2021-02-25 21:38:34-599 INFO  Call playerIntroduce from PlayerRed class
2021-02-25 21:38:34-600 INFO  Get column number from player RED
2021-02-25 21:38:34-600 INFO  Check if column 5 is Full
2021-02-25 21:38:34-600 INFO  Get number of disks in column 5
